state,acfrs_original_name,id,year,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,name,NCES District ID,nces_original_name,county,student
FL,Manatee County District School Board,148130,2020,651729633,136229868,49829053,1050287,0,0,278088728,0,11302048,0,34677143,9077507,22075489,2530791,584874900,-19545819,638104506,0,0,0,618558687,manatee,1201230,MANATEE,Manatee County,50088
LA,Jefferson Parish Public School System,76062,2020,1465097782,196691225,71202458,0,0,0,538799170,0,625990594,0,21790916,3344762,92463512,0,574273097,-12664617,682745988,0,0,0,670081371,jefferson parish,2200840,Jefferson Parish,Jefferson Parish,49862
OH,Columbus City School District,37083,2020,1621970087,509344451,99946089,80849,0,0,853903447,0,92781777,46421447,62566077,10567738,193029618,85925,771746690,-151565065,1126995036,0,0,0,975429971,columbus city,3904380,Columbus City School District,Franklin County,48759
CA,San Bernardino City Unified School District,31398,2020,1353469456,288299961,121245697,0,0,0,701302239,0,104039044,0,5875504,9816126,179410780,3567594,605116346,-101987687,899898533,0,0,0,797910846,san bernardino city unified,0634170,San Bernardino City Unified,San Bernardino County,48755
TX,San Antonio Independent School District,38823,2020,1599347637,1102057715,117674950,1127444,0,0,139264208,0,230247500,0,358773,4821377,217150782,0,555971921,18527466,759416614,2425001,0,0,777944080,san antonio,4838730,SAN ANTONIO ISD,Bexar County,48532
FL,Collier County District School Board,32378,2020,600855011,0,50154053,202641877,0,0,296446043,0,5027106,0,40471932,5619352,19078984,2035110,664314526,-13599498,704647470,0,0,0,691047972,collier,1200330,COLLIER,Collier County,47834
TX,Socorro Independent School District,38923,2020,1309743953,971736560,64805894,5597836,0,0,118210786,0,149392877,0,0,2934846,119151202,0,445999314,13861191,554224171,52969448,53840,0,568085362,socorro,4840710,SOCORRO ISD,El Paso County,47575
CA,Capistrano Unified School District,145992,2020,726686125,30016038,28746071,773087,0,0,500334962,0,110283407,0,4352134,6028185,68465399,0,453355422,-30720310,558569316,0,0,0,527849006,capistrano unified,0607440,Capistrano Unified,Orange County,46501
AK,Anchorage School District,40425,2020,998762854,489914086,38999834,2672312,0,0,436189898,24355214,5939509,0,13357920,7359778,131738548,20264427,633503534,117753419,675112868,0,0,0,792866287,anchorage,0200180,Anchorage School District,Anchorage Municipality,46143
CA,Santa Ana Unified School District,146617,2020,1377591091,385152202,67509707,0,11400054,0,664183248,0,161519880,0,4627547,4304831,176290553,-2501803,588103318,-20343148,786540047,0,0,0,766196899,santa ana unified,0635310,Santa Ana Unified,Orange County,45576
TX,Killeen Independent School District,38810,2020,814770682,456914454,57560400,0,0,0,133732517,0,164561822,0,1209247,1754208,47757760,0,491337300,10443588,530405680,0,0,0,540849268,killeen,4825660,KILLEEN ISD,Bell County,45336
TX,Alief Independent School District,38982,2020,791469325,346612378,78442500,0,0,0,164843644,0,191398931,0,6217816,6498551,133838968,0,438466478,-22657661,601461658,58699740,93386,0,578803997,alief,4807830,ALIEF ISD,Harris County,45300
TX,Humble Independent School District,44074,2020,1216359655,842615865,98535554,0,0,0,121906407,0,149154126,0,3894857,13765367,75100204,0,486083924,-8868544,583818039,0,0,0,574949495,humble,4823910,HUMBLE ISD,Harris County,45078
FL,Lake County District School Board,69471,2020,449502625,3861000,35125954,761146,0,0,203807740,0,16385010,0,20908051,3447520,20993390,1679566,467226797,34054702,459292571,0,0,0,493347273,lake,1201050,LAKE,Lake County,44793
